Room Id,Neighborhood,Url,Bathrooms,Bedrooms,Price,Price Per Bedroom,Thumbnail,Subway Lines,Nearest Stop,Amenities,Last Updated
4475,Crown Heights,https://nooklyn.com/listings/4475,1.5,3.0,2750.0,916.6666666666666,https://s3.amazonaws.com/nooklyn-pro/listings/4475/medium/1319_Bedford_Avenue__3F-3.jpg?1454985006,A C S,"Franklin Ave A, C, S ","High Ceilings
Hardwood floors
Exposed brick
Central A/C
Video Intercom
Laundry in building
Roof access
Skyline view
Eat In Kitchen
Stainless Steel Appliances
Built in microwave
Granite countertops
Small dogs ok
Cats ok",2016-04-16T18:07:40.225-04:00
436,Bushwick,https://nooklyn.com/listings/436,1.0,3.0,2800.0,933.3333333333334,https://s3.amazonaws.com/nooklyn-pro/listings/436/medium/1625_Putnam_Avenue.jpg?1454970168,M L,Myrtle-Wyckoff Ave,"Hardwood floors
Exposed brick
Central A/C
Laundry in building
Skyline view
Roof access
Common courtyard
Outdoor Space
Bike storage
Game room
Gym
Video Intercom
Stainless Steel Appliances
Stone countertops
All pets ok
Eat In Kitchen",2016-04-19T18:16:51.217-04:00
4247,Bushwick,https://nooklyn.com/listings/4247,1.0,3.0,2300.0,766.6666666666666,https://s3.amazonaws.com/nooklyn-pro/listings/4247/medium/462_Central_Avenue-35.jpg?1459712997,L J Z,Halsey L Gates J Z ,"Hardwood floors
Stainless Steel Appliances
Built in microwave
Stone countertops
Dishwasher
Cats ok
Small dogs ok
Exposed brick
Central A/C
High Ceilings
Video Intercom",2016-04-03T15:50:00.666-04:00
2763,Bed-Stuy,https://nooklyn.com/listings/2763,1.0,2.0,2600.0,1300.0,https://s3.amazonaws.com/nooklyn-pro/listings/2763/medium/4.jpg?1454974778,J M Z G L,"Flushing JM, Myrtle JMZ, Myrtle-Willoughby G, Montrose L","High Ceilings
Hardwood floors
Central A/C
Video Intercom
Elevator
Laundry in building
Outdoor Space
Shared backyard
Balcony
Roof access
Skyline view
Bike storage
Gym
Stainless Steel Appliances
Dishwasher
Stone countertops
All pets ok",2016-04-15T12:52:33.076-04:00
2292,Bed-Stuy,https://nooklyn.com/listings/2292,1.0,2.0,2750.0,1375.0,https://s3.amazonaws.com/nooklyn-pro/listings/2292/medium/IMG_4148.JPG?1454972490,G J M Z L,"Flushing JM, Myrtle JMZ, Myrtle-Willoughby G, Montrose L","High Ceilings
Hardwood floors
Exposed brick
Central A/C
Video Intercom
Elevator
Laundry in building
Outdoor Space
Common courtyard
Terrace
Roof access
Skyline view
Bike storage
Stainless Steel Appliances
Built in microwave
Stone countertops
Gym
Game room
Dishwasher
All pets ok",2016-04-15T12:53:16.344-04:00
4770,Bed-Stuy,https://nooklyn.com/listings/4770,1.0,3.0,2250.0,750.0,https://s3.amazonaws.com/nooklyn-pro/listings/4770/medium/283_Malcolm_X_Boulevard__4F-9.jpg?1456370866,A C J,"Utica Avenue (A, C), Halsey Street (J)","High Ceilings
Hardwood floors
Laundry in building
Eat In Kitchen
Stainless Steel Appliances
Dishwasher
Stone countertops
All pets ok
Shared backyard",2016-04-13T15:16:23.820-04:00
4636,Bed-Stuy,https://nooklyn.com/listings/4636,1.0,2.0,2980.0,1490.0,https://s3.amazonaws.com/nooklyn-pro/listings/4636/medium/265_Nostrand_Avenue__D6-10.jpg?1454985920,G A C,"Nostrand G, A & C trains","Stainless Steel Appliances
Eat In Kitchen
Built in microwave
Stone countertops
Outdoor Space
Roof access
Skyline view
Bike storage
Lounge
High Ceilings
Hardwood floors
Central A/C
Video Intercom
Laundry in building
Duplex
All pets ok
Balcony",2016-04-12T20:52:43.857-04:00
2463,Williamsburg,https://nooklyn.com/listings/2463,2.5,3.0,3900.0,1300.0,https://s3.amazonaws.com/nooklyn-pro/listings/2463/medium/126_withers_street_1r-5.jpg?1457405250,L G,"Lorimer L, Metropolitan G, Bedford L","High Ceilings
Hardwood floors
Central A/C
Video Intercom
Eat In Kitchen
Stainless Steel Appliances
Stone countertops
Granite countertops
Private backyard
Outdoor Space
Laundry in building",2016-03-30T18:20:42.178-04:00
4505,Williamsburg,https://nooklyn.com/listings/4505,1.0,1.0,2400.0,2400.0,https://s3.amazonaws.com/nooklyn-pro/listings/4505/medium/202460463.jpg?1454985140,J L M Z,"J,M,Z Lorimer stop or Montrose L","High Ceilings
Hardwood floors
Central A/C
Video Intercom
Laundry in building
Outdoor Space
Eat In Kitchen
Stainless Steel Appliances
Dishwasher
Built in microwave
Granite countertops
All pets ok",2016-03-25T17:15:51.642-04:00
4192,Bed-Stuy,https://nooklyn.com/listings/4192,1.0,2.0,2300.0,1150.0,https://s3.amazonaws.com/nooklyn-pro/listings/4192/medium/673_Halsey_Street__Apartments-6.jpg?1454982852,M J A C,"Halsey, Gates J & Z Ralph C Utica A C","High Ceilings
Hardwood floors
Exposed brick
Central A/C
Video Intercom
Laundry in building
Storage space
Stone countertops
Small dogs ok
Cats ok
Eat In Kitchen
Stainless Steel Appliances
Built in microwave",2016-04-21T14:38:59.178-04:00
